row_id,source_index,client_id,partition,dataset_sha256
80acfc7a89ae55a97ae999e8,0,Client 1,train,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
b019931bc5250e13750f5347,1,Client 1,train,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
b2ae07b4ef0025c20ca37d84,2,Client 1,controller_validation,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
73a196bac02c14c4f1834d1f,3,Client 1,train,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
16ccfca568265764327bb46f,4,Client 1,controller_validation,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
d5b1c4f7411b28a39de62783,5,Client 1,controller_validation,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
f0e63ca0de885cb0fddbf11e,6,Client 1,controller_validation,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
8c158f158f782193d2fa3dd0,7,Client 1,train,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
97c8ed731711337d07bd9c98,8,Client 1,train,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
51c2eaf6d6cf63053f0fecfa,9,Client 1,controller_validation,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
9e23e15d850f9979ff4314fa,10,Client 1,train,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
80a6058057c648f6aa75ddd8,11,Client 1,train,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
ab70b705b725b8ab01134458,12,Client 1,locked_test,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
59075f9e4023f87622fdc2c9,13,Client 1,train,2bd607881e0355c54aa723f9d95b82d375b92ee85e37a9196b71b0d7f851ae8d
